Hindi,English
Namaste ,Hello / Greetings
Shukriya ,Thank you
Kripya ,Please
Dhanyavaad ,Thanks
Kaise ,How
Kya ,What
Kahan ,Where
Kab ,When
Kaun ,Who
Kyun ,Why
Main ,I / Me
Tum ,You (informal)
Aap ,You (formal)
Woh ,He / She / That
Yeh ,This
Haan ,Yes
Nahi ,No
Accha ,Good / Okay
Bura ,Bad
Pyar ,Love
Dost ,Friend
Parivar ,Family
Khushi ,Happiness
Dukh ,Sadness / Sorrow
Ghar ,Home
School ,School
Khana ,Food
Pani ,Water
Chai ,Tea
Doodh ,Milk
Kitab ,Book
Kagaz ,Paper
Kal ,Yesterday / Tomorrow
Aaj ,Today
Kalpana ,Imagination
Sapna ,Dream
Satyam ,Truth
Prem ,Love (pure)
Sangharsh ,Struggle
Sankalp ,Resolution
Nirdharit ,Decided
Samay ,Time
Jeevan ,Life
Safar ,Journey
Manzil ,Destination
Raasta ,Path / Way
Sheher ,City
Gaav ,Village
Gaadi ,Vehicle / Car
Cycle ,Cycle
Bus ,Bus
Rail ,Train
Chalna ,To walk
Baithna ,To sit
Khade ,Standing
Sochna ,To think
Bolna ,To speak
Sunna ,To listen
Dekhna ,To see
Karna ,To do
Banana ,To make
Pakana ,To cook
Khareedna ,To buy
Bechna ,To sell
Likhna ,To write
Padhna ,To read
Sikhna ,To learn
Khilna ,To bloom
Muskurana ,To smile
Hansna ,To laugh
Rona ,To cry
Chillana ,To shout
Saaf ,Clean
Ganda ,Dirty
Thanda ,Cold
Garam ,Hot
Upar ,Up / Above
Neeche ,Down / Below
Samajhna ,To understand
Poochhna ,To ask
Jawab ,Answer
Sawal ,Question
Chinta ,Worry
Vishwas ,Trust
Mann ,Mind
Dil ,Heart
Dimaag ,Brain
Sharir ,Body
Aatma ,Soul
Bhagwan ,God
Imaan ,Honesty / Faith
Sach ,Truth
Jhoot ,Lie
Zaroori ,Important
Aasaan ,Easy
Mushkil ,Difficult
Tayyar ,Ready
Mehnat ,Hard work
Jeet ,Victory
Haar ,Defeat
